country,month_year,value
Bangladesh,01/03/2022,0.0
Barbados,01/03/2022,0.0
Belarus,01/03/2022,0.0
Belgium,01/03/2022,0.0
Belize,01/03/2022,0.0
Bermuda,01/03/2022,0.0
Bolivia,01/03/2022,0.0
Brazil,01/03/2022,3036.5806
Brunei Darussalam,01/03/2022,93.7424
Bulgaria,01/03/2022,0.0
Canada,01/03/2022,3783.3968
Chile,01/03/2022,1.8039
China,01/03/2022,4182.5535
Chinese Taipei,01/03/2022,0.0
Colombia,01/03/2022,0.0
Costa Rica,01/03/2022,0.0
Croatia,01/03/2022,11.2466
Cuba,01/03/2022,0.0
Cyprus,01/03/2022,0.0
Czech Republic,01/03/2022,1.4187
Denmark,01/03/2022,69.9419
Dominican Republic,01/03/2022,0.0
Ecuador,01/03/2022,0.0
Egypt (Arab Rep.),01/03/2022,557.849
El Salvador,01/03/2022,0.0
Equatorial Guinea,01/03/2022,95.0
Estonia,01/03/2022,0.0
Eswatini,01/03/2022,0.0
Finland,01/03/2022,0.0
France,01/03/2022,13.0048
Gabon,01/03/2022,0.0
Gambia,01/03/2022,0.0
Georgia,01/03/2022,0.0
Germany,01/03/2022,34.1419
Greece,01/03/2022,0.0
Grenada,01/03/2022,0.0
Guatemala,01/03/2022,0.0
Guyana,01/03/2022,0.0
Haiti,01/03/2022,0.0
Honduras,01/03/2022,0.0
Hong Kong China,01/03/2022,0.0
Hungary,01/03/2022,17.9703
Iceland,01/03/2022,0.0
India,01/03/2022,606.24
Indonesia,01/03/2022,627.2581
Iran (Islamic Rep.),01/03/2022,0.0
Iraq,01/03/2022,4148.0
Ireland,01/03/2022,0.0
Italy,01/03/2022,83.7226
Jamaica,01/03/2022,0.0
Japan,01/03/2022,3.5661
Kazakhstan,01/03/2022,1570.0477
Korea,01/03/2022,0.0
Kuwait,01/03/2022,2639.0
Latvia,01/03/2022,0.0
Libya,01/03/2022,0.0
Lithuania,01/03/2022,0.7065
Luxembourg,01/03/2022,0.0
North Macedonia,01/03/2022,0.0
Malaysia,01/03/2022,508.6427
Malta,01/03/2022,0.0
Mauritius,01/03/2022,0.0
Mexico,01/03/2022,1762.92
Moldova,01/03/2022,0.0
Morocco,01/03/2022,0.0
Myanmar,01/03/2022,0.0
Nepal,01/03/2022,0.0
Netherlands,01/03/2022,7.7761
New Zealand,01/03/2022,18.0958
Nicaragua,01/03/2022,0.0
Niger,01/03/2022,0.0
Nigeria,01/03/2022,1238.0
Norway,01/03/2022,1771.989
Oman,01/03/2022,0.0
Panama,01/03/2022,0.0
Papua New Guinea,01/03/2022,0.0
Paraguay,01/03/2022,0.0
Peru,01/03/2022,28.9677
Philippines,01/03/2022,10.0968
Poland,01/03/2022,17.9703
Portugal,01/03/2022,0.0
Qatar,01/03/2022,0.0
Romania,01/03/2022,62.7031
Russian Federation,01/03/2022,10181.6134
Saudi Arabia,01/03/2022,10300.0
Singapore,01/03/2022,0.0
Slovakia,01/03/2022,0.0
Slovenia,01/03/2022,0.0
South Africa,01/03/2022,0.0
Spain,01/03/2022,0.0
Sudan,01/03/2022,0.0
Suriname,01/03/2022,0.0
Sweden,01/03/2022,0.0
Switzerland,01/03/2022,0.0
Syria (Arab Rep.),01/03/2022,0.0
Tajikistan,01/03/2022,0.4755
Thailand,01/03/2022,134.1188
Trinidad/Tobago,01/03/2022,0.0
Tunisia,01/03/2022,37.4577
Turkey,01/03/2022,66.2181
Ukraine,01/03/2022,0.0
United Arab Emirates,01/03/2022,0.0
United Kingdom,01/03/2022,786.4839
United States of America,01/03/2022,11700.8065
Uruguay,01/03/2022,0.0
Venezuela,01/03/2022,728.0
Vietnam,01/03/2022,187.8828
Yemen,01/03/2022,0.0
Albania,01/04/2022,0.0
Algeria,01/04/2022,1006.0
Angola,01/04/2022,1183.0
Argentina,01/04/2022,0.0
Armenia,01/04/2022,0.0
Australia,01/04/2022,305.4123
Austria,01/04/2022,10.5645
Azerbaijan,01/04/2022,578.7907
Bahrain,01/04/2022,192.357
Bangladesh,01/04/2022,0.0
Barbados,01/04/2022,0.0
Belarus,01/04/2022,0.0
Belgium,01/04/2022,0.0
Belize,01/04/2022,0.0
Bermuda,01/04/2022,0.0
Bolivia,01/04/2022,0.0
Brazil,01/04/2022,3084.9333
Brunei Darussalam,01/04/2022,96.6565
Bulgaria,01/04/2022,0.0
Canada,01/04/2022,3748.1993
Chile,01/04/2022,1.864
China,01/04/2022,4147.024
Chinese Taipei,01/04/2022,0.0
Colombia,01/04/2022,0.0
Costa Rica,01/04/2022,0.0
Croatia,01/04/2022,10.8797
Cuba,01/04/2022,0.0
Cyprus,01/04/2022,0.0
Czech Republic,01/04/2022,1.466
Denmark,01/04/2022,70.5467
Dominican Republic,01/04/2022,0.0
Ecuador,01/04/2022,0.0
Egypt (Arab Rep.),01/04/2022,556.116
El Salvador,01/04/2022,0.0
Equatorial Guinea,01/04/2022,95.0
Estonia,01/04/2022,0.0
Eswatini,01/04/2022,0.0
Finland,01/04/2022,0.0
France,01/04/2022,12.7053
Gabon,01/04/2022,0.0
Gambia,01/04/2022,0.0
Georgia,01/04/2022,0.0
Germany,01/04/2022,34.32
Greece,01/04/2022,0.0
Grenada,01/04/2022,0.0
Guatemala,01/04/2022,0.0
Guyana,01/04/2022,0.0
Haiti,01/04/2022,0.0
Honduras,01/04/2022,0.0
Hong Kong China,01/04/2022,0.0
Hungary,01/04/2022,17.1033
Iceland,01/04/2022,0.0
India,01/04/2022,612.56
Indonesia,01/04/2022,606.3667
Iran (Islamic Rep.),01/04/2022,0.0
Iraq,01/04/2022,4430.0
Ireland,01/04/2022,0.0
Italy,01/04/2022,87.424
Jamaica,01/04/2022,0.0
Japan,01/04/2022,3.685
Kazakhstan,01/04/2022,1441.3263
Korea,01/04/2022,0.0
Kuwait,01/04/2022,2664.0
Latvia,01/04/2022,0.0
Libya,01/04/2022,0.0
Lithuania,01/04/2022,0.4867
Luxembourg,01/04/2022,0.0
North Macedonia,01/04/2022,0.0
Malaysia,01/04/2022,509.267
Malta,01/04/2022,0.0
Mauritius,01/04/2022,0.0
Mexico,01/04/2022,1751.828
Moldova,01/04/2022,0.0
Morocco,01/04/2022,0.0
Myanmar,01/04/2022,0.0
Nepal,01/04/2022,0.0
Netherlands,01/04/2022,8.2717
New Zealand,01/04/2022,18.157
Nicaragua,01/04/2022,0.0
Niger,01/04/2022,0.0
Nigeria,01/04/2022,1219.0
Norway,01/04/2022,1699.2313
Oman,01/04/2022,0.0
Panama,01/04/2022,0.0
Papua New Guinea,01/04/2022,0.0
Paraguay,01/04/2022,0.0
Peru,01/04/2022,41.9
Philippines,01/04/2022,9.3667
Poland,01/04/2022,18.325
Portugal,01/04/2022,0.0
Qatar,01/04/2022,0.0
Romania,01/04/2022,62.0413
Russian Federation,01/04/2022,9324.9975
Saudi Arabia,01/04/2022,10441.0
Singapore,01/04/2022,0.0
Slovakia,01/04/2022,0.0
Slovenia,01/04/2022,0.0
South Africa,01/04/2022,0.0
Spain,01/04/2022,0.0
Sudan,01/04/2022,0.0
Suriname,01/04/2022,0.0
Sweden,01/04/2022,0.0
Switzerland,01/04/2022,0.0
Syria (Arab Rep.),01/04/2022,0.0
Tajikistan,01/04/2022,0.4913
Thailand,01/04/2022,145.0808
Trinidad/Tobago,01/04/2022,0.0
Tunisia,01/04/2022,35.6303
Turkey,01/04/2022,67.9567
Ukraine,01/04/2022,0.0
United Arab Emirates,01/04/2022,0.0
United Kingdom,01/04/2022,779.688
United States of America,01/04/2022,11668.4
Uruguay,01/04/2022,0.0
Venezuela,01/04/2022,775.0
Vietnam,01/04/2022,183.0435
Yemen,01/04/2022,0.0
Albania,01/05/2022,0.0
Algeria,01/05/2022,1015.0
Angola,01/05/2022,1162.0
Argentina,01/05/2022,0.0
Armenia,01/05/2022,0.0
Australia,01/05/2022,322.0132
Austria,01/05/2022,10.2237
Azerbaijan,01/05/2022,570.8184
Bahrain,01/05/2022,199.941
Bangladesh,01/05/2022,0.0
Barbados,01/05/2022,0.0
Belarus,01/05/2022,0.0
Belgium,01/05/2022,0.0
Belize,01/05/2022,0.0
Bermuda,01/05/2022,0.0
Bolivia,01/05/2022,0.0
Brazil,01/05/2022,2882.7097
Brunei Darussalam,01/05/2022,83.5927
Bulgaria,01/05/2022,0.0
Canada,01/05/2022,3833.8884
Chile,01/05/2022,2.2548
China,01/05/2022,4148.0787
Chinese Taipei,01/05/2022,0.0
Colombia,01/05/2022,0.0
Costa Rica,01/05/2022,0.0
Croatia,01/05/2022,10.5288
Cuba,01/05/2022,0.0
Cyprus,01/05/2022,0.0
Czech Republic,01/05/2022,1.4187
Denmark,01/05/2022,62.5419
Dominican Republic,01/05/2022,0.0
Ecuador,01/05/2022,0.0
Egypt (Arab Rep.),01/05/2022,590.1677
El Salvador,01/05/2022,0.0
Equatorial Guinea,01/05/2022,89.0
Estonia,01/05/2022,0.0
Eswatini,01/05/2022,0.0
Finland,01/05/2022,0.0
France,01/05/2022,12.5319
Gabon,01/05/2022,0.0
Gambia,01/05/2022,0.0
Georgia,01/05/2022,0.0
Germany,01/05/2022,32.9806
Greece,01/05/2022,0.0
Grenada,01/05/2022,0.0
Guatemala,01/05/2022,0.0
Guyana,01/05/2022,0.0
Haiti,01/05/2022,0.0
Honduras,01/05/2022,0.0
Hong Kong China,01/05/2022,0.0
Hungary,01/05/2022,17.261
Iceland,01/05/2022,0.0
India,01/05/2022,612.0
Indonesia,01/05/2022,606.6774
Iran (Islamic Rep.),01/05/2022,0.0
Iraq,01/05/2022,4470.0
Ireland,01/05/2022,0.0
Italy,01/05/2022,87.4681
Jamaica,01/05/2022,0.0
Japan,01/05/2022,3.0906
Kazakhstan,01/05/2022,1549.1265
Korea,01/05/2022,0.0
Kuwait,01/05/2022,2694.0
Latvia,01/05/2022,0.0
Libya,01/05/2022,0.0
Lithuania,01/05/2022,0.471
Luxembourg,01/05/2022,0.0
North Macedonia,01/05/2022,0.0
Malaysia,01/05/2022,483.7032
Malta,01/05/2022,0.0
Mauritius,01/05/2022,0.0
Mexico,01/05/2022,1759.2658
Moldova,01/05/2022,0.0
Morocco,01/05/2022,0.0
Myanmar,01/05/2022,0.0
Nepal,01/05/2022,0.0
Netherlands,01/05/2022,7.5474
New Zealand,01/05/2022,14.1619
Nicaragua,01/05/2022,0.0
Niger,01/05/2022,0.0
Nigeria,01/05/2022,1024.0
Norway,01/05/2022,1655.29
Oman,01/05/2022,0.0
Panama,01/05/2022,0.0
Papua New Guinea,01/05/2022,0.0
Paraguay,01/05/2022,0.0
Peru,01/05/2022,45.3871
Philippines,01/05/2022,9.7097
Poland,01/05/2022,18.2068
Portugal,01/05/2022,0.0
Qatar,01/05/2022,0.0
Romania,01/05/2022,62.461
Russian Federation,01/05/2022,9446.0532
Saudi Arabia,01/05/2022,10538.0
Singapore,01/05/2022,0.0
Slovakia,01/05/2022,0.0
Slovenia,01/05/2022,0.0
South Africa,01/05/2022,0.0
Spain,01/05/2022,0.0
Sudan,01/05/2022,0.0
Suriname,01/05/2022,0.0
Sweden,01/05/2022,0.0
Switzerland,01/05/2022,0.0
Syria (Arab Rep.),01/05/2022,0.0
Tajikistan,01/05/2022,0.4755
Thailand,01/05/2022,139.1829
Trinidad/Tobago,01/05/2022,0.0
Tunisia,01/05/2022,34.729
Turkey,01/05/2022,67.3519
Ukraine,01/05/2022,0.0
United Arab Emirates,01/05/2022,0.0
United Kingdom,01/05/2022,743.5626
United States of America,01/05/2022,11629.129
Uruguay,01/05/2022,0.0
Venezuela,01/05/2022,735.0
Vietnam,01/05/2022,180.1768
Yemen,01/05/2022,0.0
Albania,01/06/2022,0.0
Algeria,01/06/2022,1027.0
Angola,01/06/2022,1175.0
Argentina,01/06/2022,0.0
Armenia,01/06/2022,0.0
Australia,01/06/2022,314.6115
Austria,01/06/2022,10.5645
Azerbaijan,01/06/2022,526.218
Bahrain,01/06/2022,198.253
Bangladesh,01/06/2022,0.0
Barbados,01/06/2022,0.0
Belarus,01/06/2022,0.0
Belgium,01/06/2022,0.0
Belize,01/06/2022,0.0
Bermuda,01/06/2022,0.0
Bolivia,01/06/2022,0.0
Brazil,01/06/2022,2832.5667
Brunei Darussalam,01/06/2022,81.3511
Bulgaria,01/06/2022,0.0
Canada,01/06/2022,3724.0267
Chile,01/06/2022,2.33
China,01/06/2022,4195.58
Chinese Taipei,01/06/2022,0.0
Colombia,01/06/2022,0.0
Costa Rica,01/06/2022,0.0
Croatia,01/06/2022,10.8797
Cuba,01/06/2022,0.0
Cyprus,01/06/2022,0.0
Czech Republic,01/06/2022,1.466
Denmark,01/06/2022,65.12
Dominican Republic,01/06/2022,0.0
Ecuador,01/06/2022,0.0
Egypt (Arab Rep.),01/06/2022,589.512
El Salvador,01/06/2022,0.0
Equatorial Guinea,01/06/2022,91.0
Estonia,01/06/2022,0.0
Eswatini,01/06/2022,0.0
Finland,01/06/2022,0.0
France,01/06/2022,12.461
Gabon,01/06/2022,0.0
Gambia,01/06/2022,0.0
Georgia,01/06/2022,0.0
Germany,01/06/2022,33.12
Greece,01/06/2022,0.0
Grenada,01/06/2022,0.0
Guatemala,01/06/2022,0.0
Guyana,01/06/2022,0.0
Haiti,01/06/2022,0.0
Honduras,01/06/2022,0.0
Hong Kong China,01/06/2022,0.0
Hungary,01/06/2022,17.8363
Iceland,01/06/2022,0.0
India,01/06/2022,604.872
Indonesia,01/06/2022,619.0667
Iran (Islamic Rep.),01/06/2022,0.0
Iraq,01/06/2022,4515.0
Ireland,01/06/2022,0.0
Italy,01/06/2022,100.8563
Jamaica,01/06/2022,0.0
Japan,01/06/2022,3.1937
Kazakhstan,01/06/2022,1203.0297
Korea,01/06/2022,0.0
Kuwait,01/06/2022,2724.0
Latvia,01/06/2022,0.0
Libya,01/06/2022,0.0
Lithuania,01/06/2022,0.4867
Luxembourg,01/06/2022,0.0
North Macedonia,01/06/2022,0.0
Malaysia,01/06/2022,512.4259
Malta,01/06/2022,0.0
Mauritius,01/06/2022,0.0
Mexico,01/06/2022,1770.944
Moldova,01/06/2022,0.0
Morocco,01/06/2022,0.0
Myanmar,01/06/2022,0.0
Nepal,01/06/2022,0.0
Netherlands,01/06/2022,10.635
New Zealand,01/06/2022,13.55
Nicaragua,01/06/2022,0.0
Niger,01/06/2022,0.0
Nigeria,01/06/2022,1158.0
Norway,01/06/2022,1357.6873
Oman,01/06/2022,0.0
Panama,01/06/2022,0.0
Papua New Guinea,01/06/2022,0.0
Paraguay,01/06/2022,0.0
Peru,01/06/2022,45.8
Philippines,01/06/2022,9.1333
Poland,01/06/2022,13.6827
Portugal,01/06/2022,0.0
Qatar,01/06/2022,0.0
Romania,01/06/2022,62.0413
Russian Federation,01/06/2022,9983.8084
Saudi Arabia,01/06/2022,10646.0
Singapore,01/06/2022,0.0
Slovakia,01/06/2022,0.0
Slovenia,01/06/2022,0.0
South Africa,01/06/2022,0.0
Spain,01/06/2022,0.0
Sudan,01/06/2022,0.0
Suriname,01/06/2022,0.0
Sweden,01/06/2022,0.0
Switzerland,01/06/2022,0.0
Syria (Arab Rep.),01/06/2022,0.0
Tajikistan,01/06/2022,0.4913
Thailand,01/06/2022,130.4152
Trinidad/Tobago,01/06/2022,0.0
Tunisia,01/06/2022,34.3487
Turkey,01/06/2022,68.191
Ukraine,01/06/2022,0.0
United Arab Emirates,01/06/2022,0.0
United Kingdom,01/06/2022,694.512
United States of America,01/06/2022,11797.2667
Uruguay,01/06/2022,0.0
Venezuela,01/06/2022,727.0
Vietnam,01/06/2022,192.0438
Yemen,01/06/2022,0.0
Albania,01/07/2022,0.0
Algeria,01/07/2022,1040.0
Angola,01/07/2022,1180.0
Argentina,01/07/2022,0.0
Armenia,01/07/2022,0.0
Australia,01/07/2022,235.7869
Austria,01/07/2022,9.9965
Azerbaijan,01/07/2022,551.0858
Bahrain,01/07/2022,200.4165
Bangladesh,01/07/2022,0.0
Barbados,01/07/2022,0.0
Belarus,01/07/2022,0.0
Belgium,01/07/2022,0.0
Belize,01/07/2022,0.0
Bermuda,01/07/2022,0.0
Bolivia,01/07/2022,0.0
Brazil,01/07/2022,2966.9677
Brunei Darussalam,01/07/2022,80.751
Bulgaria,01/07/2022,0.0
Canada,01/07/2022,3930.471
Chile,01/07/2022,2.2548
China,01/07/2022,4043.9458
Chinese Taipei,01/07/2022,0.0
Colombia,01/07/2022,0.0
Costa Rica,01/07/2022,0.0
Croatia,01/07/2022,10.7681
Cuba,01/07/2022,0.0
Cyprus,01/07/2022,0.0
Czech Republic,01/07/2022,1.6552
Denmark,01/07/2022,63.4968
Dominican Republic,01/07/2022,0.0
Ecuador,01/07/2022,0.0
Egypt (Arab Rep.),01/07/2022,564.1723
El Salvador,01/07/2022,0.0
Equatorial Guinea,01/07/2022,89.0
Estonia,01/07/2022,0.0
Eswatini,01/07/2022,0.0
Finland,01/07/2022,0.0
France,01/07/2022,11.3497
Gabon,01/07/2022,0.0
Gambia,01/07/2022,0.0
Georgia,01/07/2022,0.0
Germany,01/07/2022,31.5871
Greece,01/07/2022,0.0
Grenada,01/07/2022,0.0
Guatemala,01/07/2022,0.0
Guyana,01/07/2022,0.0
Haiti,01/07/2022,0.0
Honduras,01/07/2022,0.0
Hong Kong China,01/07/2022,0.0
Hungary,01/07/2022,18.6797
Iceland,01/07/2022,0.0
India,01/07/2022,588.72
Indonesia,01/07/2022,593.5161
Iran (Islamic Rep.),01/07/2022,0.0
Iraq,01/07/2022,4584.0
Ireland,01/07/2022,0.0
Italy,01/07/2022,81.299
Jamaica,01/07/2022,0.0
Japan,01/07/2022,3.0906
Kazakhstan,01/07/2022,1386.511
Korea,01/07/2022,0.0
Kuwait,01/07/2022,2768.0
Latvia,01/07/2022,0.0
Libya,01/07/2022,0.0
Lithuania,01/07/2022,0.471
Luxembourg,01/07/2022,0.0
North Macedonia,01/07/2022,0.0
Malaysia,01/07/2022,0.0
Malta,01/07/2022,0.0
Mauritius,01/07/2022,0.0
Mexico,01/07/2022,1779.1355
Moldova,01/07/2022,0.0
Morocco,01/07/2022,0.0
Myanmar,01/07/2022,0.0
Nepal,01/07/2022,0.0
Netherlands,01/07/2022,6.8613
New Zealand,01/07/2022,15.4732
Nicaragua,01/07/2022,0.0
Niger,01/07/2022,0.0
Nigeria,01/07/2022,1084.0
Norway,01/07/2022,1674.619
Oman,01/07/2022,0.0
Panama,01/07/2022,0.0
Papua New Guinea,01/07/2022,0.0
Paraguay,01/07/2022,0.0
Peru,01/07/2022,39.871
Philippines,01/07/2022,8.6774
Poland,01/07/2022,17.7339
Portugal,01/07/2022,0.0
Qatar,01/07/2022,0.0
Romania,01/07/2022,61.2505
Russian Federation,01/07/2022,10019.0474
Saudi Arabia,01/07/2022,10815.0
Singapore,01/07/2022,0.0
Slovakia,01/07/2022,0.0
Slovenia,01/07/2022,0.0
South Africa,01/07/2022,0.0
Spain,01/07/2022,0.0
Sudan,01/07/2022,0.0
Suriname,01/07/2022,0.0
Sweden,01/07/2022,0.0
Switzerland,01/07/2022,0.0
Syria (Arab Rep.),01/07/2022,0.0
Tajikistan,01/07/2022,0.4755
Thailand,01/07/2022,137.352
Trinidad/Tobago,01/07/2022,0.0
Tunisia,01/07/2022,32.4965
Turkey,01/07/2022,70.9803
Ukraine,01/07/2022,0.0
United Arab Emirates,01/07/2022,0.0
United Kingdom,01/07/2022,781.1187
United States of America,01/07/2022,11844.0
Uruguay,01/07/2022,0.0
Venezuela,01/07/2022,629.0
Vietnam,01/07/2022,174.9067
Yemen,01/07/2022,0.0
Albania,01/08/2022,0.0
Algeria,01/08/2022,1053.0
Angola,01/08/2022,1179.0
Argentina,01/08/2022,0.0
Armenia,01/08/2022,0.0
Australia,01/08/2022,255.6266
Austria,01/08/2022,9.3149
Azerbaijan,01/08/2022,554.6519
Bahrain,01/08/2022,196.6126
Bangladesh,01/08/2022,0.0
Barbados,01/08/2022,0.0
Belarus,01/08/2022,0.0
Belgium,01/08/2022,0.0
Belize,01/08/2022,0.0
Bermuda,01/08/2022,0.0
Bolivia,01/08/2022,0.0
Brazil,01/08/2022,3090.5161
Brunei Darussalam,01/08/2022,88.4612
Bulgaria,01/08/2022,0.0
Canada,01/08/2022,3943.6729
Chile,01/08/2022,2.2548
China,01/08/2022,4000.2619
Chinese Taipei,01/08/2022,0.0
Colombia,01/08/2022,0.0
Costa Rica,01/08/2022,0.0
Croatia,01/08/2022,11.2466
Cuba,01/08/2022,0.0
Cyprus,01/08/2022,0.0
Czech Republic,01/08/2022,1.4187
Denmark,01/08/2022,63.9742
Dominican Republic,01/08/2022,0.0
Ecuador,01/08/2022,0.0
Egypt (Arab Rep.),01/08/2022,573.54
El Salvador,01/08/2022,0.0
Equatorial Guinea,01/08/2022,85.0
Estonia,01/08/2022,0.0
Eswatini,01/08/2022,0.0
Finland,01/08/2022,0.0
France,01/08/2022,10.8768
Gabon,01/08/2022,0.0
Gambia,01/08/2022,0.0
Georgia,01/08/2022,0.0
Germany,01/08/2022,33.2129
Greece,01/08/2022,0.0
Grenada,01/08/2022,0.0
Guatemala,01/08/2022,0.0
Guyana,01/08/2022,0.0
Haiti,01/08/2022,0.0
Honduras,01/08/2022,0.0
Hong Kong China,01/08/2022,0.0
Hungary,01/08/2022,18.9161
Iceland,01/08/2022,0.0
India,01/08/2022,584.4
Indonesia,01/08/2022,590.7419
Iran (Islamic Rep.),01/08/2022,0.0
Iraq,01/08/2022,4651.0
Ireland,01/08/2022,0.0
Italy,01/08/2022,79.5365
Jamaica,01/08/2022,0.0
Japan,01/08/2022,2.8529
Kazakhstan,01/08/2022,1205.8271
Korea,01/08/2022,0.0
Kuwait,01/08/2022,2811.0
Latvia,01/08/2022,0.0
Libya,01/08/2022,0.0
Lithuania,01/08/2022,0.471
Luxembourg,01/08/2022,0.0
North Macedonia,01/08/2022,0.0
Malaysia,01/08/2022,494.4903
Malta,01/08/2022,0.0
Mauritius,01/08/2022,0.0
Mexico,01/08/2022,1764.2903
Moldova,01/08/2022,0.0
Morocco,01/08/2022,0.0
Myanmar,01/08/2022,0.0
Nepal,01/08/2022,0.0
Netherlands,01/08/2022,8.691
New Zealand,01/08/2022,15.7355
Nicaragua,01/08/2022,0.0
Niger,01/08/2022,0.0
Nigeria,01/08/2022,972.0
Norway,01/08/2022,1830.2177
Oman,01/08/2022,0.0
Panama,01/08/2022,0.0
Papua New Guinea,01/08/2022,0.0
Paraguay,01/08/2022,0.0
Peru,01/08/2022,43.0323
Philippines,01/08/2022,7.7097
Poland,01/08/2022,17.7339
Portugal,01/08/2022,0.0
Qatar,01/08/2022,0.0
Romania,01/08/2022,60.2821
Russian Federation,01/08/2022,9995.3151
Saudi Arabia,01/08/2022,11051.0
Singapore,01/08/2022,0.0
Slovakia,01/08/2022,0.0
Slovenia,01/08/2022,0.0
South Africa,01/08/2022,0.0
Spain,01/08/2022,0.0
Sudan,01/08/2022,0.0
Suriname,01/08/2022,0.0
Sweden,01/08/2022,0.0
Switzerland,01/08/2022,0.0
Syria (Arab Rep.),01/08/2022,0.0
Tajikistan,01/08/2022,0.4755
Thailand,01/08/2022,141.0123
Trinidad/Tobago,01/08/2022,0.0
Tunisia,01/08/2022,32.9926
Turkey,01/08/2022,72.1142
Ukraine,01/08/2022,0.0
United Arab Emirates,01/08/2022,0.0
United Kingdom,01/08/2022,569.4387
United States of America,01/08/2022,12002.4839
Uruguay,01/08/2022,0.0
Venezuela,01/08/2022,723.0
Vietnam,01/08/2022,181.3884
Yemen,01/08/2022,0.0
